query,ground_truth,prediction,chunk_size,overlap,top_k,reranking,prompt_type,f1,em,faithfulness,citation_acc,context_recall,context_precision,latency,not_found
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Gold.,128,0,5,off,baseline,0.0,0,0,0.0,1,1.0,0.3635740280151367,0
What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was the ""golden anniversary"" due to being the 50th edition, hence the emphasis on gold-themed initiatives.",128,0,5,off,baseline,0.16666666666666669,0,0,0.0,1,1.0,0.5247147083282471,0
What was the theme of Super Bowl 50?,"""golden anniversary""","There is no theme mentioned in the context. The text only provides information about the game itself, such as the teams that played, the score, and the location of the game.",128,0,5,off,baseline,0.0,0,1,0.0,1,1.0,0.5801632404327393,0
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,L.,128,0,5,off,baseline,0.0,0,0,0.0,1,1.0,0.3608734607696533,0
Super Bowl 50 decided the NFL champion for what season?,2015,The season for which Super Bowl 50 decided the NFL champion was the 2015 season.,128,0,5,off,baseline,0.125,0,1,0.0,1,1.0,0.4666564464569092,0
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"The answer is not explicitly stated in the provided context, but it can be inferred. The context states that the Denver Broncos secured their third Super Bowl title, which was earned by defeating the Carolina Panthers 24–10 to win Super Bowl 50. Since Super Bowl 50 was played on February 7, 2016, and the Broncos won the championship for the first time in 12 years (after their previous two titles in 1997 and 1998), we can deduce that Super Bowl 50 refers to the year 2016.

However, it does not provide information about the exact year when the Broncos secured their third title.",128,0,5,off,baseline,0.0,0,1,0.0,1,1.0,1.164806842803955,0
What was the final score of Super Bowl 50? ,24–10,"The final score was Denver Broncos 24, Carolina Panthers 10.",128,0,5,off,baseline,0.0,0,0,0.0,1,1.0,0.4325530529022217,0
What year was Super Bowl 50?,2015,2016.,128,0,5,off,baseline,0.0,0,1,0.0,1,1.0,0.368070125579834,0
The name of the NFL championship game is?,Super Bowl,"The answer is not explicitly stated in the provided context, but it can be inferred. The context mentions that the league temporarily suspended the tradition of naming each Super Bowl game with Roman numerals for this particular game, which would have been known as ""Super Bowl L"". Therefore, the name of the NFL championship game in question is likely ""Super Bowl 50"" instead of using a Roman numeral (L).",128,0,5,off,baseline,0.05633802816901409,0,0,0.0,1,1.0,0.8608121871948242,0
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,Not found.,128,0,5,off,strict,0.0,0,1,0.0,1,1.0,0.3704550266265869,1
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"Not found. None of the sources provide information on which NFC team represented the NFC at Super Bowl 50. They all describe the game and the teams involved, but do not mention which NFC team specifically represented their conference in the championship game.",128,0,5,off,strict,0.0,0,1,0.0,1,1.0,0.6453115940093994,1
Where did Super Bowl 50 take place?,"Santa Clara, California",Not found.,128,0,5,off,strict,0.0,0,0,0.0,1,1.0,0.3754720687866211,1
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"Not found. The text does not mention a specific color used to emphasize the 50th anniversary of the Super Bowl. However, it mentions gold-themed initiatives and the use of Arabic numerals 50 in the logo, which is consistent with the theme of emphasizing the ""golden anniversary"".",128,0,5,off,strict,0.0,0,0,0.0,1,1.0,0.7140052318572998,1
What was the theme of Super Bowl 50?,"""golden anniversary""",Not found.,128,0,5,off,strict,0.0,0,0,0.0,1,1.0,0.3631324768066406,1
What day was the game played on?,"February 7, 2016","Not found. The text does not specify the day of the week the game was played on. It only mentions the date, February 7, 2016.",128,0,5,off,strict,0.14285714285714285,0,0,0.0,1,1.0,0.5546903610229492,1
What was the theme of Super Bowl 50?,"""golden anniversary""","Not found. None of the sources provide information on the theme of Super Bowl 50, only details about the game itself and its 50th anniversary celebration.",128,0,5,off,strict,0.0,0,1,0.0,1,1.0,0.5493898391723633,1
What does AFC stand for?,American Football Conference,NOT FOUND.,128,0,5,off,strict,0.0,0,1,0.0,1,1.0,0.35883283615112305,1
What day was the Super Bowl played on?,"February 7, 2016",Not found,128,0,5,off,strict,0.0,0,1,0.0,1,1.0,0.3577401638031006,1
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Not found.,128,0,5,off,strict,0.0,0,0,0.0,1,1.0,0.3670973777770996,1
Super Bowl 50 decided the NFL champion for what season?,2015,Super Bowl 50 decided the NFL champion for the 2015 season.,128,0,5,off,strict,0.16666666666666669,0,0,0.0,1,1.0,0.4409942626953125,0
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"Not found. None of the provided sources mention a specific year when the Denver Broncos secured their third Super Bowl title, only stating it was in Super Bowl 50, which occurred in 2016.",128,0,5,off,strict,0.0,0,1,0.0,1,1.0,0.5961418151855469,1
What city did Super Bowl 50 take place in?,Santa Clara,Not found.,128,0,5,off,strict,0.0,0,1,0.0,1,1.0,0.3662683963775635,1
What was the final score of Super Bowl 50? ,24–10,The final score of Super Bowl 50 was 24-10 in favor of the Denver Broncos.,128,0,5,off,strict,0.0,0,1,0.0,1,1.0,0.47420215606689453,0
What year was Super Bowl 50?,2015,Super Bowl 50 was played in 2016.,128,0,5,off,strict,0.0,0,1,0.0,1,1.0,0.412398099899292,0
What team was the AFC champion?,Denver Broncos,Not found,128,0,5,off,strict,0.0,0,0,0.0,1,1.0,0.3521876335144043,1
What team was the NFC champion?,Carolina Panthers,"Not found. The text does not provide a team for the NFC champion, only the fact that the Denver Broncos defeated the Carolina Panthers in Super Bowl 50.",128,0,5,off,strict,0.13333333333333333,0,1,0.0,1,1.0,0.5514781475067139,1
Who won Super Bowl 50?,Denver Broncos,Not found,128,0,5,off,strict,0.0,0,0,0.0,1,1.0,0.35777950286865234,1
Super Bowl 50 determined the NFL champion for what season?,2015,Not found,128,0,5,off,strict,0.0,0,0,0.0,1,1.0,0.35545873641967773,1
The name of the NFL championship game is?,Super Bowl,Not found.,128,0,5,off,strict,0.0,0,1,0.0,1,1.0,0.3674466609954834,1
What 2015 NFL team one the AFC playoff?,Denver Broncos,Not found,128,0,5,off,strict,0.0,0,0,0.0,1,1.0,0.3673717975616455,1
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"The NFC team that represented the National Football Conference (NFC) at Super Bowl 50 is the Carolina Panthers. [1], [2], [3], [4], and [5] all confirm this information.",128,0,5,off,citation,0.06666666666666667,0,1,1.0,1,1.0,0.6289629936218262,0
Where did Super Bowl 50 take place?,"Santa Clara, California","[1], [2], [3], [4], and [5] all state that Super Bowl 50 was played at Levi's Stadium in Santa Clara, California, as part of the San Francisco Bay Area.",128,0,5,off,citation,0.125,0,1,1.0,1,1.0,0.6269068717956543,0
Which NFL team won Super Bowl 50?,Denver Broncos,"[1], [2], [3], [4], [5]

The NFL team that won Super Bowl 50 is the Denver Broncos.",128,0,5,off,citation,0.10526315789473684,0,0,1.0,1,1.0,0.5287439823150635,0
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Not found.,128,0,5,off,citation,0.0,0,0,0.0,1,1.0,0.36533379554748535,1
What was the theme of Super Bowl 50?,"""golden anniversary""","Not found. The context only provides information about the facts of Super Bowl 50, but does not mention a specific theme.",128,0,5,off,citation,0.0,0,0,0.0,1,1.0,0.5058138370513916,1
What day was the game played on?,"February 7, 2016","February 7, 2016. [1], [2], [3], [4], and [5] all state the same information, so there is no need to provide multiple citations.",128,0,5,off,citation,0.15384615384615383,0,1,1.0,1,1.0,0.5972733497619629,0
What was the theme of Super Bowl 50?,"""golden anniversary""",Not found.,128,0,5,off,citation,0.0,0,1,0.0,1,1.0,0.37026405334472656,1
What does AFC stand for?,American Football Conference,"The text does not provide a definition or explanation for what AFC stands for, but it does mention the American Football Conference (AFC) champion Denver Broncos in several instances. However, the actual meaning of AFC is not explicitly stated. Therefore, I must answer:

Not found",128,0,5,off,citation,0.125,0,1,0.0,1,1.0,0.677433967590332,1
What city did Super Bowl 50 take place in?,Santa Clara,"According to [1], [2], [3], [4], and [5], Super Bowl 50 took place in Santa Clara, California. Specifically, it was played at Levi's Stadium in the San Francisco Bay Area.",128,0,5,off,citation,0.0625,0,1,1.0,1,1.0,0.6405665874481201,0
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,"Not found. The text does not provide an answer to what Roman numerals for Super Bowl 50 would be called, but rather explains that the league temporarily suspended the tradition of naming each Super Bowl game with Roman numerals to promote the ""golden anniversary"" and feature Arabic numerals 50 instead.",128,0,5,off,citation,0.07547169811320754,0,1,0.0,1,1.0,0.7228939533233643,1
Super Bowl 50 decided the NFL champion for what season?,2015,Not found.,128,0,5,off,citation,0.0,0,0,0.0,1,1.0,0.35996365547180176,1
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"Not found. The provided context only mentions Super Bowl 50, but does not provide information on any other Super Bowl title won by the Denver Broncos.",128,0,5,off,citation,0.0,0,0,0.0,1,1.0,0.5414178371429443,1
